x,phi
2.500000000000000139e-02,4.930616277709014977e-02
7.500000000000001110e-02,5.288895351177663046e-02
1.250000000000000000e-01,5.649157760403004241e-02
1.749999999999999889e-01,6.011538603788495888e-02
2.250000000000000056e-01,6.376173774150409312e-02
2.750000000000000222e-01,6.743200009677628726e-02
3.250000000000000111e-01,7.112754945208478452e-02
3.750000000000000000e-01,7.484977163843782588e-02
4.250000000000000444e-01,7.860006248915528404e-02
4.749999999999999778e-01,8.237982836330617897e-02
5.250000000000000222e-01,8.619048667309334166e-02
5.749999999999999556e-01,9.003346641538292894e-02
6.250000000000000000e-01,9.391020870757828265e-02
6.750000000000000444e-01,9.782216732803898640e-02
7.250000000000000888e-01,1.017708092612477355e-01
7.750000000000000222e-01,1.057576152479294818e-01
8.250000000000000666e-01,1.097840803403292154e-01
8.750000000000000000e-01,1.138517144628565791e-01
9.250000000000000444e-01,1.179620429783075491e-01
9.750000000000000888e-01,1.221166072598754010e-01
1.024999999999999911e+00,1.263169652691657208e-01
1.075000000000000178e+00,1.305646921404320093e-01
1.125000000000000000e+00,1.348613807712509827e-01
1.175000000000000044e+00,1.392086424198591965e-01
1.225000000000000089e+00,1.436081073093748994e-01
1.275000000000000133e+00,1.480614252391316554e-01
1.325000000000000178e+00,1.525702662033530943e-01
1.375000000000000000e+00,1.571363210174008262e-01
1.425000000000000266e+00,1.617613019518301387e-01
1.475000000000000089e+00,1.664469433744913685e-01
1.525000000000000133e+00,1.711950024009180893e-01
1.575000000000000178e+00,1.760072595532451989e-01
1.625000000000000000e+00,1.808855194279047618e-01
1.675000000000000044e+00,1.858316113723498253e-01
1.725000000000000089e+00,1.908473901710595610e-01
1.774999999999999911e+00,1.959347367410834706e-01
1.825000000000000178e+00,2.010955588373853076e-01
1.875000000000000000e+00,2.063317917682512270e-01
1.925000000000000266e+00,2.116453991210302532e-01
1.975000000000000089e+00,2.170383734984797086e-01
2.025000000000000355e+00,2.225127372659911340e-01
2.075000000000000178e+00,2.280705433099773360e-01
2.125000000000000000e+00,2.337138758077047518e-01
2.174999999999999822e+00,2.394448510088601212e-01
2.225000000000000533e+00,2.452656180291437893e-01
2.275000000000000355e+00,2.511783596561883436e-01
2.325000000000000178e+00,2.571852931681039567e-01
2.375000000000000000e+00,2.632886711649575773e-01
2.424999999999999822e+00,2.694907824134981089e-01
2.475000000000000533e+00,2.757939527054437123e-01
2.525000000000000355e+00,2.822005457296538067e-01
2.575000000000000178e+00,2.887129639585125362e-01
2.625000000000000000e+00,2.953336495488557145e-01
2.674999999999999822e+00,3.020650852577798084e-01
2.725000000000000089e+00,3.089097953736756330e-01
2.775000000000000355e+00,3.158703466628365875e-01
2.825000000000000178e+00,3.229493493319960939e-01
2.875000000000000000e+00,3.301494580071551721e-01
2.925000000000000266e+00,3.374733727290670227e-01
2.975000000000000089e+00,3.449238399657522103e-01
3.025000000000000355e+00,3.525036536424245859e-01
3.075000000000000178e+00,3.602156561892128628e-01
3.125000000000000444e+00,3.680627396070720314e-01
3.175000000000000266e+00,3.760478465522837932e-01
3.225000000000000089e+00,3.841739714399526884e-01
3.274999999999999911e+00,3.924441615669115313e-01
3.325000000000000178e+00,4.008615182544579825e-01
3.375000000000000444e+00,4.094291980113499152e-01
3.425000000000000266e+00,4.181504137174960056e-01
3.475000000000000089e+00,4.270284358287861348e-01
3.525000000000000355e+00,4.360665936035121870e-01
3.575000000000000178e+00,4.452682763508395980e-01
3.625000000000000000e+00,4.546369347017987228e-01
3.675000000000000266e+00,4.641760819032710317e-01
3.725000000000000089e+00,4.738892951354571337e-01
3.775000000000000355e+00,4.837802168533190117e-01
3.825000000000000178e+00,4.938525561525008989e-01
3.875000000000000444e+00,5.041100901602398876e-01
3.925000000000000711e+00,5.145566654517891303e-01
3.975000000000000533e+00,5.251961994928827648e-01
4.025000000000000355e+00,5.360326821087862958e-01
4.075000000000001066e+00,5.470701769804807713e-01
4.125000000000000000e+00,5.583128231685429155e-01
4.175000000000000711e+00,5.697648366652932062e-01
4.224999999999999645e+00,5.814305119757928741e-01
4.275000000000000355e+00,5.933142237282833520e-01
4.325000000000000178e+00,6.054204283146722432e-01
4.375000000000000000e+00,6.177536655616792105e-01
4.425000000000000711e+00,6.303185604332718350e-01
4.475000000000000533e+00,6.431198247650269373e-01
4.525000000000000355e+00,6.561622590310689507e-01
4.575000000000000178e+00,6.694507541442474841e-01
4.625000000000000000e+00,6.829902932902303103e-01
4.675000000000000711e+00,6.967859537961968996e-01
4.725000000000000533e+00,7.108429090348373780e-01
4.775000000000000355e+00,7.251664303643658993e-01
4.825000000000000178e+00,7.397618891052809564e-01
4.875000000000000000e+00,7.546347585546107073e-01
4.925000000000000711e+00,7.697906160383983787e-01
4.975000000000000533e+00,7.852351450032006852e-01
5.025000000000000355e+00,8.009741371473793059e-01
5.075000000000000178e+00,8.166815996527750920e-01
5.125000000000000000e+00,8.323569142090135875e-01
5.175000000000000711e+00,8.479994637711949501e-01
5.225000000000000533e+00,8.636086325841855205e-01
5.275000000000000355e+00,8.791838062068546567e-01
5.325000000000000178e+00,8.947243715362622751e-01
5.375000000000000000e+00,9.102297168317936560e-01
5.425000000000000711e+00,9.256992317392387370e-01
5.474999999999999645e+00,9.411323073148195606e-01
5.525000000000000355e+00,9.565283360491605436e-01
5.575000000000001066e+00,9.718867118912017933e-01
5.625000000000000000e+00,9.872068302720562460e-01
5.675000000000000711e+00,1.002488088128807853e+00
5.724999999999999645e+00,1.017729883928251144e+00
5.775000000000000355e+00,1.032931617690569848e+00
5.825000000000001066e+00,1.048092691012953770e+00
5.875000000000000000e+00,1.063212507093155068e+00
5.925000000000000711e+00,1.078290470752981012e+00
5.974999999999999645e+00,1.093325988461722353e+00
6.025000000000000355e+00,1.108318468359517084e+00
6.075000000000001066e+00,1.123267320280648685e+00
6.125000000000000000e+00,1.138171955776777322e+00
6.175000000000000711e+00,1.153031788140103986e+00
6.225000000000000533e+00,1.167846232426464903e+00
6.275000000000000355e+00,1.182614705478357342e+00
6.325000000000000178e+00,1.197336625947897026e+00
6.375000000000000000e+00,1.212011414319699609e+00
6.425000000000000711e+00,1.226638492933694646e+00
6.475000000000000533e+00,1.241217286007863851e+00
6.525000000000000355e+00,1.255747219660906966e+00
6.575000000000000178e+00,1.270227721934831466e+00
6.625000000000000000e+00,1.284658222817467443e+00
6.675000000000000711e+00,1.299038154264905431e+00
6.725000000000000533e+00,1.313366950223856966e+00
6.775000000000000355e+00,1.327644046653936760e+00
6.825000000000001066e+00,1.341868881549866943e+00
6.875000000000000000e+00,1.356040894963597143e+00
6.925000000000000711e+00,1.370159529026349299e+00
6.975000000000000533e+00,1.384224227970574983e+00
7.025000000000000355e+00,1.398234438151834569e+00
7.075000000000001066e+00,1.412189608070591573e+00
7.125000000000000000e+00,1.426089188393918628e+00
7.175000000000000711e+00,1.439932631977125066e+00
7.224999999999999645e+00,1.453719393885292810e+00
7.275000000000000355e+00,1.467448931414728319e+00
7.325000000000001066e+00,1.481120704114325282e+00
7.375000000000000000e+00,1.494734173806837818e+00
7.425000000000000711e+00,1.508288804610067091e+00
7.474999999999999645e+00,1.521784062957955097e+00
7.525000000000000355e+00,1.535219417621588089e+00
7.575000000000001066e+00,1.548594339730107849e+00
7.625000000000000000e+00,1.561908302791529923e+00
7.675000000000000711e+00,1.575160782713469709e+00
7.725000000000001421e+00,1.588351257823771290e+00
7.775000000000000355e+00,1.601479208891043449e+00
7.825000000000000178e+00,1.614544119145098433e+00
7.875000000000000000e+00,1.627545474297295236e+00
7.925000000000000711e+00,1.640482762560782515e+00
7.974999999999999645e+00,1.653355474670645142e+00
8.025000000000000355e+00,1.666163103903952170e+00
8.075000000000001066e+00,1.678905146099701762e+00
8.125000000000000000e+00,1.691581099678668210e+00
8.175000000000000711e+00,1.704190465663145471e+00
8.225000000000001421e+00,1.716732747696589456e+00
8.275000000000000355e+00,1.729207452063156403e+00
8.325000000000001066e+00,1.741614087707137548e+00
8.375000000000000000e+00,1.753952166252289446e+00
8.425000000000000711e+00,1.766221202021058145e+00
8.475000000000001421e+00,1.778420712053698338e+00
8.525000000000000355e+00,1.790550216127282379e+00
8.574999999999999289e+00,1.802609236774606938e+00
8.625000000000000000e+00,1.814597299302984634e+00
8.675000000000000711e+00,1.826513931812933533e+00
8.725000000000001421e+00,1.838358665216749621e+00
8.775000000000000355e+00,1.850131033256974256e+00
8.825000000000001066e+00,1.861830572524748151e+00
8.875000000000000000e+00,1.873456822478051453e+00
8.925000000000000711e+00,1.885009325459833240e+00
8.975000000000001421e+00,1.896487626716027775e+00
9.025000000000002132e+00,1.907891274413453964e+00
9.074999999999999289e+00,1.919219819657601356e+00
9.125000000000000000e+00,1.930472816510302669e+00
9.175000000000000711e+00,1.941649822007285531e+00
9.225000000000001421e+00,1.952750396175609859e+00
9.275000000000000355e+00,1.963774102050987569e+00
9.325000000000001066e+00,1.974720505694983252e+00
9.375000000000000000e+00,1.985589176212095186e+00
9.425000000000000711e+00,1.996379685766717316e+00
9.475000000000001421e+00,2.007091609599981563e+00
9.525000000000002132e+00,2.017724526046476896e+00
9.574999999999999289e+00,2.028278016550847163e+00
9.625000000000000000e+00,2.038751665684269021e+00
9.675000000000000711e+00,2.049145061160805081e+00
9.725000000000001421e+00,2.059457793853630037e+00
9.775000000000000355e+00,2.069689457811139999e+00
9.825000000000001066e+00,2.079839650272929052e+00
9.875000000000000000e+00,2.089907971685644572e+00
9.925000000000000711e+00,2.099894025718715973e+00
9.975000000000001421e+00,2.109797419279954678e+00
1.002500000000000213e+01,2.119617762531029292e+00
1.007499999999999929e+01,2.129354668902808889e+00
1.012500000000000000e+01,2.139007755110584164e+00
1.017500000000000071e+01,2.148576641169150925e+00
1.022500000000000142e+01,2.158060950407767908e+00
1.027500000000000036e+01,2.167460309484988468e+00
1.032500000000000107e+01,2.176774348403352821e+00
1.037500000000000000e+01,2.186002700523952846e+00
1.042500000000000071e+01,2.195145002580866755e+00
1.047500000000000142e+01,2.204200894695457436e+00
1.052500000000000213e+01,2.213170020390538006e+00
1.057499999999999929e+01,2.222052026604404595e+00
1.062500000000000000e+01,2.230846563704735885e+00
