x,phi
2.500000000000000139e-02,1.051476716227584873e+01
7.500000000000001110e-02,1.126744967331456770e+01
1.250000000000000000e-01,1.201271669022583666e+01
1.749999999999999889e-01,1.275057380251228167e+01
2.250000000000000056e-01,1.348102654410224588e+01
2.750000000000000222e-01,1.420408039339129047e+01
3.250000000000000111e-01,1.491974077328328541e+01
3.750000000000000000e-01,1.562801305123107909e+01
4.249999999999999889e-01,1.632890253927675417e+01
4.749999999999999778e-01,1.702241449409147478e+01
5.250000000000000222e-01,1.770855411701490212e+01
5.749999999999999556e-01,1.838732655409420857e+01
6.250000000000000000e-01,1.905873689612266730e+01
6.750000000000000444e-01,1.972279017867785100e+01
7.250000000000000888e-01,2.037949138215937595e+01
7.750000000000000222e-01,2.102884543182626587e+01
8.250000000000000666e-01,2.167085719783388953e+01
8.750000000000000000e-01,2.230553149527049683e+01
9.249999999999999334e-01,2.293287308419331438e+01
9.749999999999999778e-01,2.355288666966426803e+01
1.024999999999999911e+00,2.416557690178523998e+01
1.075000000000000178e+00,2.477094837573297426e+01
1.125000000000000000e+00,2.536900563179352375e+01
1.175000000000000044e+00,2.595975315539630657e+01
1.225000000000000089e+00,2.654319537714775024e+01
1.274999999999999911e+00,2.711933667286452732e+01
1.325000000000000178e+00,2.768818136360634696e+01
1.375000000000000000e+00,2.824973371570839120e+01
1.425000000000000044e+00,2.880399794081329645e+01
1.475000000000000089e+00,2.935097819590275847e+01
1.524999999999999911e+00,2.989067858332869321e+01
1.575000000000000178e+00,3.042310315084399974e+01
1.625000000000000000e+00,3.094825589163293955e+01
1.675000000000000266e+00,3.146614074434106101e+01
1.725000000000000089e+00,3.197676159310476862e+01
1.774999999999999911e+00,3.248012226758041976e+01
1.824999999999999956e+00,3.297622654297308742e+01
1.875000000000000000e+00,3.346507814006482562e+01
1.925000000000000044e+00,3.394668072524260793e+01
1.975000000000000089e+00,3.442103791052583261e+01
2.025000000000000355e+00,3.488815325359339425e+01
2.075000000000000178e+00,3.534803025781035046e+01
2.125000000000000000e+00,3.580067237225424748e+01
2.174999999999999822e+00,3.624608299174093418e+01
2.225000000000000089e+00,3.668426545685006346e+01
2.275000000000000355e+00,3.711522305395011756e+01
2.325000000000000178e+00,3.753895901522307810e+01
2.375000000000000000e+00,3.795547651868864847e+01
2.424999999999999822e+00,3.836477868822811388e+01
