x,y,phi
8.333333333333332871e-02,8.333333333333332871e-02,1.946532832147904957e+00
2.500000000000000000e-01,8.333333333333332871e-02,2.338240072416512216e+00
4.166666666666666297e-01,8.333333333333332871e-02,2.695434933885473949e+00
5.833333333333332593e-01,8.333333333333332871e-02,3.022745518887566263e+00
7.500000000000000000e-01,8.333333333333332871e-02,3.323732342877978585e+00
9.166666666666666297e-01,8.333333333333332871e-02,3.601234644015768538e+00
1.083333333333333481e+00,8.333333333333332871e-02,3.857575378220853501e+00
1.250000000000000000e+00,8.333333333333332871e-02,4.094692057356426496e+00
1.416666666666666519e+00,8.333333333333332871e-02,4.314225062803077826e+00
1.583333333333333259e+00,8.333333333333332871e-02,4.517579842442541960e+00
1.750000000000000000e+00,8.333333333333332871e-02,4.705972191214843114e+00
1.916666666666666519e+00,8.333333333333332871e-02,4.880462103715517586e+00
2.083333333333333481e+00,8.333333333333332871e-02,5.041979639743703778e+00
2.250000000000000000e+00,8.333333333333332871e-02,5.191345048670502393e+00
2.416666666666666963e+00,8.333333333333332871e-02,5.329284668046218698e+00
2.583333333333333037e+00,8.333333333333332871e-02,5.456443647957895493e+00
2.750000000000000000e+00,8.333333333333332871e-02,5.573396248107393092e+00
2.916666666666666519e+00,8.333333333333332871e-02,5.680654249295684188e+00
3.083333333333333037e+00,8.333333333333332871e-02,5.778673878919000195e+00
3.250000000000000000e+00,8.333333333333332871e-02,5.867861549953962808e+00
3.416666666666666519e+00,8.333333333333332871e-02,5.948578640739111911e+00
3.583333333333333037e+00,8.333333333333332871e-02,6.021145490106983189e+00
3.750000000000000000e+00,8.333333333333332871e-02,6.085844743175566229e+00
3.916666666666666519e+00,8.333333333333332871e-02,6.142924153464106141e+00
4.083333333333333925e+00,8.333333333333332871e-02,6.192598924342338940e+00
4.250000000000000000e+00,8.333333333333332871e-02,6.235053655176015397e+00
4.416666666666666963e+00,8.333333333333332871e-02,6.270443943646021978e+00
4.583333333333333925e+00,8.333333333333332871e-02,6.298897684551512555e+00
4.750000000000000000e+00,8.333333333333332871e-02,6.320516096311060927e+00
4.916666666666666075e+00,8.333333333333332871e-02,6.335374498753910899e+00
5.083333333333333037e+00,8.333333333333332871e-02,6.343522859270730230e+00
5.250000000000000000e+00,8.333333333333332871e-02,6.344986118580751899e+00
5.416666666666666075e+00,8.333333333333332871e-02,6.339764302095475479e+00
5.583333333333333037e+00,8.333333333333332871e-02,6.327832417715112179e+00
5.750000000000000000e+00,8.333333333333332871e-02,6.309140135842489450e+00
5.916666666666666963e+00,8.333333333333332871e-02,6.283611241987363094e+00
6.083333333333333925e+00,8.333333333333332871e-02,6.251142846547161014e+00
6.250000000000000000e+00,8.333333333333332871e-02,6.211604329649193623e+00
6.416666666666666075e+00,8.333333333333332871e-02,6.164835991158847506e+00
6.583333333333333037e+00,8.333333333333332871e-02,6.110647366515457257e+00
6.750000000000000000e+00,8.333333333333332871e-02,6.048815157349088700e+00
6.916666666666666963e+00,8.333333333333332871e-02,5.979080711135671855e+00
7.083333333333333925e+00,8.333333333333332871e-02,5.901146965086585539e+00
7.250000000000000000e+00,8.333333333333332871e-02,5.814674744762620584e+00
7.416666666666666075e+00,8.333333333333332871e-02,5.719278274825343011e+00
7.583333333333333037e+00,8.333333333333332871e-02,5.614519714916291093e+00
7.750000000000000000e+00,8.333333333333332871e-02,5.499902472448504831e+00
