x,y,phi
8.333333333333332871e-02,8.333333333333332871e-02,1.946532832156489645e+00
2.500000000000000000e-01,8.333333333333332871e-02,2.338240072426885696e+00
4.166666666666666297e-01,8.333333333333332871e-02,2.695434933899045316e+00
5.833333333333332593e-01,8.333333333333332871e-02,3.022745518904937700e+00
7.500000000000000000e-01,8.333333333333332871e-02,3.323732342896252856e+00
9.166666666666666297e-01,8.333333333333332871e-02,3.601234644037034638e+00
1.083333333333333481e+00,8.333333333333332871e-02,3.857575378242803499e+00
1.250000000000000000e+00,8.333333333333332871e-02,4.094692057381609018e+00
1.416666666666666519e+00,8.333333333333332871e-02,4.314225062830355562e+00
1.583333333333333259e+00,8.333333333333332871e-02,4.517579842472022378e+00
1.750000000000000000e+00,8.333333333333332871e-02,4.705972191244513603e+00
1.916666666666666519e+00,8.333333333333332871e-02,4.880462103744638291e+00
2.083333333333333481e+00,8.333333333333332871e-02,5.041979639774303301e+00
2.250000000000000000e+00,8.333333333333332871e-02,5.191345048701649034e+00
2.416666666666666963e+00,8.333333333333332871e-02,5.329284668079321108e+00
2.583333333333333037e+00,8.333333333333332871e-02,5.456443647989084766e+00
2.750000000000000000e+00,8.333333333333332871e-02,5.573396248136769593e+00
2.916666666666666519e+00,8.333333333333332871e-02,5.680654249321645644e+00
3.083333333333333037e+00,8.333333333333332871e-02,5.778673878941903652e+00
3.250000000000000000e+00,8.333333333333332871e-02,5.867861549974329627e+00
3.416666666666666519e+00,8.333333333333332871e-02,5.948578640756776892e+00
3.583333333333333037e+00,8.333333333333332871e-02,6.021145490122338906e+00
3.750000000000000000e+00,8.333333333333332871e-02,6.085844743187004191e+00
3.916666666666666519e+00,8.333333333333332871e-02,6.142924153469771831e+00
4.083333333333333925e+00,8.333333333333332871e-02,6.192598924340535049e+00
4.250000000000000000e+00,8.333333333333332871e-02,6.235053655167105191e+00
4.416666666666666963e+00,8.333333333333332871e-02,6.270443943630791495e+00
4.583333333333333925e+00,8.333333333333332871e-02,6.298897684530762042e+00
4.750000000000000000e+00,8.333333333333332871e-02,6.320516096285502705e+00
4.916666666666666075e+00,8.333333333333332871e-02,6.335374498725812487e+00
5.083333333333333037e+00,8.333333333333332871e-02,6.343522859240541933e+00
5.250000000000000000e+00,8.333333333333332871e-02,6.344986118549994281e+00
5.416666666666666075e+00,8.333333333333332871e-02,6.339764302063865209e+00
5.583333333333333037e+00,8.333333333333332871e-02,6.327832417684808419e+00
5.750000000000000000e+00,8.333333333333332871e-02,6.309140135813419370e+00
5.916666666666666963e+00,8.333333333333332871e-02,6.283611241960595173e+00
6.083333333333333925e+00,8.333333333333332871e-02,6.251142846522664165e+00
6.250000000000000000e+00,8.333333333333332871e-02,6.211604329626120524e+00
6.416666666666666075e+00,8.333333333333332871e-02,6.164835991137401550e+00
6.583333333333333037e+00,8.333333333333332871e-02,6.110647366493645372e+00
6.750000000000000000e+00,8.333333333333332871e-02,6.048815157328792047e+00
6.916666666666666963e+00,8.333333333333332871e-02,5.979080711115353886e+00
7.083333333333333925e+00,8.333333333333332871e-02,5.901146965068007511e+00
7.250000000000000000e+00,8.333333333333332871e-02,5.814674744743996371e+00
7.416666666666666075e+00,8.333333333333332871e-02,5.719278274806386619e+00
7.583333333333333037e+00,8.333333333333332871e-02,5.614519714896171187e+00
7.750000000000000000e+00,8.333333333333332871e-02,5.499902472426561495e+00
7.916666666666666075e+00,8.333333333333332871e-02,5.374862958657296907e+00
8.083333333333332149e+00,8.333333333333332871e-02,5.238760332603682457e+00
8.250000000000000000e+00,8.333333333333332871e-02,5.090863599937328843e+00
8.416666666666667851e+00,8.333333333333332871e-02,4.930335169316941268e+00
8.583333333333333925e+00,8.333333333333332871e-02,4.756209562475163466e+00
8.750000000000000000e+00,8.333333333333332871e-02,4.567365331114465299e+00
8.916666666666666075e+00,8.333333333333332871e-02,4.362487175907070025e+00
9.083333333333332149e+00,8.333333333333332871e-02,4.140013444828432476e+00
9.250000000000000000e+00,8.333333333333332871e-02,3.898060893038080010e+00
9.416666666666667851e+00,8.333333333333332871e-02,3.634312220664025261e+00
9.583333333333332149e+00,8.333333333333332871e-02,3.345838623845040605e+00
9.750000000000000000e+00,8.333333333333332871e-02,3.028799252407643028e+00
9.916666666666666075e+00,8.333333333333332871e-02,2.677882606646783348e+00
1.008333333333333215e+01,8.333333333333332871e-02,2.285137447524951959e+00
