x,phi
1.000000000000000056e-01,3.957885706604497011e-01
3.000000000000000444e-01,4.986943286161879541e-01
5.000000000000000000e-01,6.011673586069669062e-01
6.999999999999999556e-01,7.031187425459338725e-01
9.000000000000000222e-01,8.044600149900683617e-01
1.100000000000000089e+00,9.051032399036055276e-01
1.300000000000000044e+00,1.004961086962078864e+00
1.500000000000000000e+00,1.103946907330773719e+00
1.699999999999999956e+00,1.201974808851833609e+00
1.899999999999999911e+00,1.298959730574783977e+00
2.100000000000000089e+00,1.394817516565793669e+00
2.299999999999999822e+00,1.489464988931633815e+00
2.500000000000000000e+00,1.582820019994967131e+00
2.700000000000000178e+00,1.674801603558340624e+00
2.900000000000000355e+00,1.765329925195042282e+00
3.100000000000000089e+00,1.854326431505831430e+00
3.300000000000000266e+00,1.941713898281446582e+00
3.500000000000000000e+00,2.027416497511740801e+00
3.699999999999999734e+00,2.111359863183306373e+00
3.899999999999999911e+00,2.193471155808488504e+00
4.099999999999999645e+00,2.273679125629795905e+00
4.300000000000000711e+00,2.351914174444868166e+00
4.500000000000000000e+00,2.428108415998349923e+00
4.700000000000000178e+00,2.502195734888267076e+00
4.900000000000000355e+00,2.574111843935796617e+00
5.099999999999999645e+00,2.643794339968640550e+00
5.300000000000000711e+00,2.711182757969606616e+00
5.500000000000000000e+00,2.776218623543409869e+00
5.700000000000000178e+00,2.838845503656162172e+00
5.900000000000000355e+00,2.899009055603529283e+00
6.099999999999999645e+00,2.956657074165059296e+00
6.300000000000000711e+00,3.011739536903770720e+00
6.500000000000000000e+00,3.064208647571689426e+00
6.700000000000001066e+00,3.114018877583669465e+00
6.900000000000000355e+00,3.161127005523514111e+00
7.099999999999999645e+00,3.205492154648120096e+00
7.299999999999999822e+00,3.247075828357085303e+00
7.500000000000000000e+00,3.285841943597026305e+00
7.700000000000000178e+00,3.321756862171597380e+00
7.900000000000000355e+00,3.354789419930064742e+00
8.100000000000001421e+00,3.384910953809083356e+00
8.300000000000000711e+00,3.412095326704241316e+00
8.500000000000000000e+00,3.436318950149761076e+00
8.699999999999999289e+00,3.457560804786698583e+00
8.900000000000000355e+00,3.475802458601870537e+00
9.100000000000001421e+00,3.491028082921687314e+00
9.300000000000000711e+00,3.503224466147011107e+00
9.500000000000000000e+00,3.512381025217121255e+00
9.699999999999999289e+00,3.518489814792841841e+00
9.900000000000000355e+00,3.521545534150860579e+00
1.009999999999999964e+01,3.521545531783257577e+00
1.030000000000000071e+01,3.518489807698256033e+00
1.050000000000000000e+01,3.512381013420191156e+00
1.070000000000000107e+01,3.503224449688707498e+00
1.090000000000000036e+01,3.491028061859170695e+00
1.110000000000000142e+01,3.475802433008291281e+00
1.130000000000000071e+01,3.457560774750944255e+00
1.150000000000000000e+01,3.436318915776149119e+00
1.169999999999999929e+01,3.412095288112153568e+00
1.189999999999999858e+01,3.384910911132556155e+00
1.209999999999999964e+01,3.354789373317320855e+00
1.230000000000000071e+01,3.321756811784533081e+00
1.250000000000000000e+01,3.285841889610647382e+00
1.269999999999999929e+01,3.247075770958902652e+00
1.290000000000000036e+01,3.205492094037496908e+00
1.310000000000000142e+01,3.161126941910974431e+00
1.330000000000000071e+01,3.114018811190168101e+00
1.350000000000000000e+01,3.064208578627844126e+00
1.370000000000000107e+01,3.011739465649061476e+00
1.390000000000000213e+01,2.956657000846995675e+00
1.410000000000000142e+01,2.899008980476794228e+00
1.429999999999999893e+01,2.838845426981725595e+00
1.450000000000000000e+01,2.776218545587622266e+00
1.469999999999999929e+01,2.711182679003274032e+00
1.490000000000000036e+01,2.643794260266085328e+00
1.509999999999999964e+01,2.574111763773904382e+00
1.530000000000000071e+01,2.502195654545523062e+00
1.550000000000000000e+01,2.428108335753872637e+00
1.570000000000000107e+01,2.351914094577441716e+00
1.590000000000000036e+01,2.273679046416899663e+00
1.610000000000000142e+01,2.193471077525331658e+00
1.630000000000000426e+01,2.111359786101874025e+00
1.650000000000000000e+01,2.027416421899847609e+00
1.670000000000000284e+01,1.941713824401806177e+00
1.689999999999999858e+01,1.854326359615144026e+00
1.710000000000000142e+01,1.765329855543100956e+00
1.729999999999999716e+01,1.674801536387164003e+00
1.750000000000000000e+01,1.582819955537956513e+00
1.770000000000000284e+01,1.489464927412763151e+00
1.789999999999999858e+01,1.394817458198831739e+00
1.810000000000000142e+01,1.298959675562549654e+00
1.830000000000000071e+01,1.201974757385489756e+00
1.850000000000000000e+01,1.103946859589164387e+00
1.870000000000000284e+01,1.004961043111108010e+00
1.889999999999999858e+01,9.051032000956572565e-01
1.910000000000000142e+01,8.044599793634786833e-01
1.929999999999999716e+01,7.031187112245093074e-01
1.950000000000000000e+01,6.011673316995528316e-01
1.970000000000000284e+01,4.986943062162913498e-01
1.989999999999999858e+01,3.957885528459147984e-01
